policy,knowledge,objective,min_gain_sec,max_count_imbalance,p50,p95,p99,ttft_p50,ttft_p95,ttft_p99,tokens_per_sec,mean_gpu_busy,mean_slot_occupancy,pending_p95,waiting_p95,waiting_fraction,assignments,max_pending,overrides,seed
guarded_completion_oracle,oracle,completion,0.0,2,22.471795194336643,48.47648596491802,55.15467147514357,8.927967566192844,21.96936259607041,22.852962762334137,922.6522642433378,0.9895081852564123,0.7513476853315774,124.0,76.0,0.9,"[152, 148]","[66, 67]",118,1
guarded_completion_helix,helix,completion,0.25,2,22.159864933152132,46.94938187529345,55.0801931626912,8.79093772659568,21.574603694493405,23.210076351683497,910.1212798818236,0.975000715927187,0.743208899186518,124.0,76.0,0.8933333333333333,"[157, 143]","[68, 67]",107,1
guarded_completion_oracle,oracle,completion,0.25,2,22.42907058560435,48.66692514283543,55.066808157192085,8.843324942373936,21.734522195455856,23.456064976616165,909.6191251005204,0.9781469195164314,0.741149383530459,125.0,77.0,0.8966666666666666,"[150, 150]","[67, 65]",86,1
guarded_completion_helix,helix,completion,0.75,2,22.733906543422826,48.098481057346305,54.30275799334695,9.072492679733013,21.385519641968592,24.05565275043254,917.9684127706863,0.9825869576314675,0.7497206296198451,124.0,76.0,0.8933333333333333,"[154, 146]","[68, 65]",92,1
guarded_completion_oracle,oracle,completion,0.75,2,22.255538262745112,48.21391486252325,55.34867479131014,8.827818796419873,21.98414604130302,22.729060776083436,916.9490178558445,0.9807721077509202,0.7482973453750338,124.05000000000001,76.05000000000001,0.89,"[152, 148]","[66, 65]",53,1
round_robin,prior,completion,0.0,1000000000,10.163009376282094,35.65024551107562,42.259214335834855,0.14196604933298218,7.609481590006842,8.847579023659952,709.8121568052904,0.9142900868427518,0.5403844127083168,76.05000000000001,28.05000000000001,0.8366666666666667,"[150, 150]","[45, 46]",0,2
queue_size,prior,completion,0.0,1000000000,10.107357449567644,35.9546382780755,41.391309080600834,0.12552816605721073,7.9866468931191035,9.486864599753902,718.2719289177656,0.9180996844640885,0.5478152860165416,78.05000000000001,30.05000000000001,0.8366666666666667,"[153, 147]","[45, 46]",0,2
least_work,oracle,completion,0.0,1000000000,10.231411580506887,35.63556556501701,41.06641708957697,0.13225057079383618,7.140319236534011,8.49394835518264,726.2663923970781,0.9367049915230037,0.5524708067140564,77.05000000000001,29.05000000000001,0.8566666666666667,"[146, 154]","[41, 50]",140,2
completion_oracle,oracle,completion,0.0,1000000000,10.063586461474824,36.052401083241165,41.593606889515215,0.11913206435192691,6.64724476424156,8.2161804385507,725.3422866379074,0.9373169440440179,0.5514083069768222,78.05000000000001,30.05000000000001,0.8333333333333334,"[152, 148]","[45, 45]",105,2
ttft_oracle,oracle,ttft,0.0,1000000000,10.367144960749307,35.59393036618393,42.56640307671963,0.12174188488832272,6.548545286031909,8.188114360376426,723.1605804297484,0.927879012566833,0.5532653962310105,79.05000000000001,31.05000000000001,0.8366666666666667,"[142, 158]","[48, 43]",130,2
completion_helix,helix,completion,0.0,1000000000,10.65242856943729,35.866587484672934,42.05804215994155,0.12816214754555944,6.995575502895854,9.19392205479358,710.6689530575479,0.9063759217724487,0.5423641392092355,79.05000000000001,31.05000000000001,0.8333333333333334,"[147, 153]","[44, 49]",100,2
ttft_helix,helix,ttft,0.0,1000000000,10.194897619290757,35.529591007144965,42.457468703213586,0.13783539766343944,6.820084195478279,8.28400655318623,713.5660171559566,0.9154504435527588,0.5471791390460305,77.05000000000001,29.05000000000001,0.8366666666666667,"[151, 149]","[50, 42]",132,2
guarded_ttft_helix,helix,ttft,0.0,0,10.247049551859696,36.43868026606193,42.02747434268089,0.13595591046288824,7.1390590161723475,9.632384122820277,708.110083726126,0.9130857286543109,0.5392976532196889,79.05000000000001,31.05000000000001,0.83,"[152, 148]","[45, 46]",63,2
guarded_ttft_oracle,oracle,ttft,0.0,0,10.409600290371868,36.01819751690833,42.13605025049812,0.12848859037130822,6.8423639337714,8.620695779164903,712.2428027136546,0.9133064598444038,0.5427104392859583,78.0,30.0,0.8266666666666667,"[154, 146]","[45, 45]",80,2
guarded_ttft_helix,helix,ttft,0.25,0,10.107357449567644,35.895026053773705,40.92149780529045,0.1235942696663157,8.114558646582505,10.087538591644483,722.5483793805444,0.92361743468905,0.5507654118014937,80.05000000000001,32.05000000000001,0.8366666666666667,"[149, 151]","[46, 46]",25,2
guarded_ttft_oracle,oracle,ttft,0.25,0,10.19727049568429,36.0078859284531,40.30927076809112,0.131640566619029,7.466532345642126,8.938039398962907,716.1094953693915,0.9141161794676971,0.5450687689370792,77.05000000000001,29.05000000000001,0.84,"[152, 148]","[45, 45]",27,2
guarded_ttft_helix,helix,ttft,0.75,0,9.955105296628057,35.874359733313526,40.50613695035622,0.14539373940998246,7.627015693070778,9.486077232935246,722.289274144998,0.9220640586692418,0.5505771985362846,76.05000000000001,28.05000000000001,0.84,"[156, 144]","[44, 44]",23,2
